"country","latestRate","dataYear","pop2022"
"United Arab Emirates","92.9864","2015","9441.1290"
"Sri Lanka","92.6142","2015","21832.1430"
"Brazil","92.5868","2015","215313.4980"
"Dominican Republic","92.4654","2015","11228.8210"
"Sao Tome and Principe","91.7471","2015","227.3800"
"Libya","91.3889","2015","6812.3410"
"Namibia","90.8205","2015","2567.0120"
"Mauritius","90.6160","2015","1299.4690"
"Saint Lucia","90.1000","2001","179.8570"
"Micronesia","89","1980","114.1640"
"Jamaica","88.4999","2015","2827.3770"
"Cape Verde","88.4654","2015","593.1490"
"Honduras","88.4246","2015","10432.8600"
"Botswana","88.2244","2015","2630.2960"
"El Salvador","87.6482","2015","6336.3920"
"Guyana","87.5353","2015","808.7260"
"Eswatini","87.4702","2015","1201.6700"
"Iran","87.1725","2015","88550.5700"
"Zimbabwe","86.8735","2015","16320.5370"
"Syria","86.3039","2015","22125.2490"
"Burundi","85.4961","2015","12889.5760"
"Zambia","85.1173","2015","20017.6750"
"Vanuatu","85.0587","2015","326.7400"
"Solomon Islands","84.1000","2011","724.2730"
"Gabon","83.2379","2015","2388.9920"
"Belize","82.7768","2015","405.2720"
"Nicaragua","82.4718","2015","6948.3920"
"Tunisia","81.0542","2015","12356.1170"
"Tanzania","80.3595","2015","65497.7480"
"Gibraltar","80","2011","32.6490"
"Laos","79.8675","2015","7529.4750"
"Iraq","79.7218","2015","44496.1220"
"Algeria","79.6084","2015","44903.2250"
"Lesotho","79.3609","2015","2305.8250"
"Guatemala","79.0742","2015","17843.9080"
"Cambodia","78.3459","2015","16767.8420"
"Comoros","78.1374","2015","836.7740"
"Kenya","78.0234","2015","54027.4870"
"DR Congo","77.2217","2015","99010.2120"
"Ghana","76.5759","2015","33475.8700"
"Egypt","75.8426","2015","110990.1030"
"Cameroon","74.9856","2015","27914.5360"
"Eritrea","73.8453","2015","3684.0320"
"Uganda","73.8098","2015","47249.5850"
"India","72.2253","2015","1417173.1730"
"Morocco","71.7105","2015","37457.9710"
"Rwanda","71.2435","2015","13776.6980"
"Angola","71.1642","2015","35588.9870"
"Yemen","69.9620","2015","33696.6140"
"Djibouti","67.9000","2003","1120.8490"
"Togo","66.5376","2015","8848.6990"
"Malawi","65.9638","2015","20405.3170"
"Nepal","64.6636","2015","30547.5800"
"Madagascar","64.6563","2015","29611.7140"
"Bhutan","63.9068","2015","782.4550"
"Papua New Guinea","63.4335","2015","10142.6190"
"Bangladesh","61.4938","2015","171186.3720"
"Haiti","60.6893","2015","11584.9960"
"Guinea-Bissau","59.7728","2015","2105.5660"
"Nigeria","59.5681","2015","218541.2120"
"Mozambique","58.8366","2015","32969.5180"
"Sudan","58.6013","2015","46874.2040"
"Pakistan","56.4403","2015","235824.8620"
"Senegal","55.6249","2015","17316.4490"
"Gambia","55.5728","2015","2705.9920"
"Mauritania","52.1236","2015","4736.1390"
"Wallis and Futuna","50","1969","11.5720"
"Ethiopia","49.0315","2015","123379.9240"
"Sierra Leone","48.4319","2015","8605.7180"
"Liberia","47.6001","2015","5302.6810"
"Ivory Coast","43.2653","2015","28160.5420"
"Chad","40.0182","2015","17723.3150"
"Benin","38.4471","2015","13352.8640"
"Afghanistan","38.1680","2015","41128.7710"
"Somalia","37.8000","2001","17597.5110"
"Burkina Faso","37.7467","2015","22673.7620"
"Central African Republic","36.7526","2015","5579.1440"
"Mali","33.0689","2015","22593.5900"
"South Sudan","31.9763","2015","10913.1640"
"Guinea","30.4728","2015","13859.3410"
"Niger","19.1026","2015","26207.9770"
