Puesto,País,Puntuación,Proceso electoraly pluralismo,Funcionamientodel gobierno,Participaciónpolítica,Culturapolítica,Derechosciviles,Categoría
95, Marruecos,"5,04","5,25","4,64","5,56","3,75","5,59",Régimen híbrido
97, Sierra Leona,"4,97","6,58","2,86","3,89","6,25","5,29",Régimen híbrido
98, Bolivia,"4,65","4,75","4,29","6,11","2,50","5,59",Régimen híbrido
99, Guatemala,"4,62","6,92","3,93","3,89","2,50","5,88",Régimen híbrido
100, Uganda,"4,48","3,42","3,21","3,89","6,88","5,00",Régimen híbrido
101, Gambia,"4,41","3,58","4,29","4,44","5,63","4,12",Régimen híbrido
101, Nepal,"4,41","4,83","5,00","4,44","2,50","5,29",Régimen híbrido
103, Turquía,"4,35","3,50","5,00","5,56","5,63","2,06",Régimen híbrido
104,,"4,31","5,67","5,36","3,33","2,50","4,71",Régimen híbrido
105, Costa de Marfil,"4,22","4,33","2,86","4,44","5,63","3,82",Régimen híbrido
106, Benín,"4,19","1,67","5,36","3,89","5,63","4,41",Régimen híbrido
107, Nigeria,"4,11","5,17","3,93","3,89","3,75","3,82",Régimen híbrido
108, Mauritania,"4,03","3,50","3,57","5,56","3,13","4,41",Régimen híbrido
109,,"3,94","3,33","0,14","8,33","4,38","3,53",Régimen autoritario
110, Kuwait,"3,91","3,58","3,93","4,44","4,38","3,24",Régimen autoritario
111, Burkina Faso,"3,84","3,00","2,36","5,00","5,00","3,82",Régimen autoritario
111, Líbano,"3,84","3,50","1,14","6,67","3,75","4,12",Régimen autoritario
113, Argelia,"3,77","3,08","2,50","4,44","5,00","3,82",Régimen autoritario
114, Catar,"3,65","1,50","4,29","3,33","5,63","3,53",Régimen autoritario
115,Kirguistán,"3,62","4,33","1,50","4,44","3,13","4,71",Régimen autoritario
116, Irak,3.51,5.25,0.00,6.11,5.00,1.18,Régimen autoritario
116, Mozambique,3.51,2.58,1.43,5.00,5.00,3.53,Régimen autoritario
118, Jordania,3.49,2.67,3.93,3.89,3.75,3.24,Régimen autoritario
119, Haití,3.48,3.08,0.00,2.78,6.25,5.29,Régimen autoritario
119, Malí,3.48,2.42,0.00,5.56,5.63,3.82,Régimen autoritario
121, Gabón,3.40,2.17,1.86,4.44,5.00,3.53,Régimen autoritario
122, Angola,3.37,1.33,2.86,5.00,5.00,2.65,Régimen autoritario
123, Etiopía,3.30,0.42,3.21,6.11,5.00,1.76,Régimen autoritario
124,Rusia,3.24,1.75,2.14,4.44,3.75,4.12,Régimen autoritario
125, Níger,3.22,2.00,1.14,3.89,4.38,4.71,Régimen autoritario
126, Comoras,3.20,2.08,2.21,4.44,3.75,3.53,Régimen autoritario
127, Ruanda,3.10,1.42,4.29,2.78,4.38,2.65,Régimen autoritario
128, Suazilandia,3.08,0.92,2.86,2.78,5.63,3.24,Régimen autoritario
128,Kazajistán,3.08,0.50,3.21,5.00,3.75,2.94,Régimen autoritario
130, Omán,3.00,0.08,3.93,2.78,4.38,3.82,Régimen autoritario
131, Vietnam,2.94,0.00,2.86,3.89,5.63,2.35,Régimen autoritario
132, Egipto,2.93,1.33,3.21,3.33,5.00,1.76,Régimen autoritario
133, Zimbabue,2.92,0.00,2.50,3.89,5.00,3.24,Régimen autoritario
134, Camboya,2.90,0.00,3.21,3.89,5.63,1.76,Régimen autoritario
134,Emiratos Árabes Unidos,2.90,0.00,4.29,2.22,5.63,2.35,Régimen autoritario
136, Togo,2.80,0.92,1.79,3.33,5.00,2.94,Régimen autoritario
137, República del Congo,2.79,0.00,2.50,4.44,3.75,3.24,Régimen autoritario
138, Guinea-Bisáu,2.75,4.92,0.00,3.33,3.13,2.35,Régimen autoritario
139, Yibuti,2.74,0.00,1.29,4.44,5.63,2.35,Régimen autoritario
140, Nicaragua,2.69,0.00,2.50,3.33,4.38,3.24,Régimen autoritario
141, Azerbaiyán,2.68,0.50,2.50,2.78,5.00,2.65,Régimen autoritario
142, Cuba,2.59,0.00,3.21,3.33,3.75,2.65,Régimen autoritario
143, Camerún,2.56,0.33,2.14,3.89,4.38,2.06,Régimen autoritario
144, Baréin,2.52,0.42,2.71,3.33,4.38,1.76,Régimen autoritario
145, Sudán,2.47,0.00,1.43,4.44,5.00,1.47,Régimen autoritario
146, Bielorrusia,2.41,0.00,2.00,3.89,4.38,1.76,Régimen autoritario
147, Guinea,2.28,1.25,0.43,3.33,3.75,2.65,Régimen autoritario
148, China,2.21,0.00,4.29,2.78,3.13,0.88,Régimen autoritario
149, Burundi,2.13,0.00,0.00,3.89,5.00,1.76,Régimen autoritario
150, Uzbekistán,2.12,0.08,1.86,2.78,5.00,0.88,Régimen autoritario
151,Venezuela,2.11,0.00,1.79,3.89,2.50,2.35,Régimen autoritario
152, Arabia Saudita,2.08,0.00,3.57,2.22,3.13,1.47,Régimen autoritario
153, Eritrea,2.03,0.00,2.14,0.56,6.88,0.59,Régimen autoritario
154, Libia,"1,95","0,00","0,00","3,33","3,75","2,65",Régimen autoritario
154, Irán,"1,95","0,00","2,50","3,89","1,88","1,47",Régimen autoritario
154, Yemen,"1,95","0,00","0,00","3,89","5,00","0,88",Régimen autoritario
157, Tayikistán,"1,94","0,00","2,21","2,22","4,38","0,88",Régimen autoritario
158, Guinea Ecuatorial,"1,92","0,00","0,43","3,33","4,38","1,47",Régimen autoritario
159, Laos,"1,77","0,00","2,86","1,67","3,75","0,59",Régimen autoritario
160, Chad,"1,67","0,00","0,00","2,22","3,75","2,35",Régimen autoritario
161, Turkmenistán,"1,66","0,00","0,79","2,22","5,00","0,29",Régimen autoritario
162, Siria,"1,43","0,00","0,00","2,78","4,38","0,00",Régimen autoritario
162, República Centroafricana,"1,43","1,25","0,00","1,67","1,88","2,35",Régimen autoritario
164, Rd del Congo,"1,40","0,75","0,00","2,22","3,13","0,88",Régimen autoritario
165, Corea del Norte,"1,08","0,00","2,50","1,67","1,25","0,00",Régimen autoritario
166, Birmania,"1,02","0,00","0,00","1,67","3,13","0,29",Régimen autoritario
167, Afganistán,"0,32","0,00","0,07","0,00","1,25","0,29",Régimen autoritario
